flight_id,flight_number,airline_code,airline_name,aircraft_id,aircraft_series,aircraft_category,origin_airport,date_key,arrival_time,arrival_slot_id,estimated_pax,estimated_bags,cargo_kg,has_cargo_data,is_active
1,EY2632,EY,Etihad Airways,7,A321,Narrowbody,LHR,20250301,01:30:00,19,148,218,0.0,FALSE,TRUE
2,EY9148,EY,Etihad Airways,2,B777,Widebody,JNB,20250301,03:05:00,38,317,427,0.0,FALSE,TRUE
3,G94841,G9,Air Arabia Abu Dhabi,7,A321,Narrowbody,DEL,20250301,03:20:00,41,171,223,1416.6,TRUE,TRUE
4,EY5196,EY,Etihad Airways,1,A380,Widebody,NRT,20250301,03:30:00,43,371,511,0.0,FALSE,TRUE
5,EY5863,EY,Etihad Airways,4,A350,Widebody,NRT,20250301,03:40:00,45,265,381,0.0,FALSE,TRUE
6,6E8802,6E,IndiGo,8,A320,Narrowbody,KWI,20250301,04:55:00,60,148,214,0.0,FALSE,TRUE
7,EY3827,EY,Etihad Airways,8,A320,Narrowbody,DEL,20250301,05:05:00,62,133,171,1155.5,TRUE,TRUE
8,EY9671,EY,Etihad Airways,5,B787,Widebody,CDG,20250301,06:10:00,75,237,332,3239.5,TRUE,TRUE
9,EY5413,EY,Etihad Airways,7,A321,Narrowbody,JFK,20250301,06:25:00,78,153,193,0.0,FALSE,TRUE
10,EY4165,EY,Etihad Airways,6,A330,Widebody,SIN,20250301,06:35:00,80,194,286,5682.1,TRUE,TRUE
11,EY6311,EY,Etihad Airways,4,A350,Widebody,LHR,20250301,06:35:00,80,266,323,0.0,FALSE,TRUE
12,FC3280,FC,Florida Coastal Airlines,3,B747,Widebody,MUM,20250301,06:55:00,84,292,354,6245.0,TRUE,TRUE
13,EY2715,EY,Etihad Airways,8,A320,Narrowbody,CDG,20250301,07:25:00,90,130,159,0.0,FALSE,TRUE
14,EY5338,EY,Etihad Airways,7,A321,Narrowbody,NRT,20250301,07:30:00,91,147,185,0.0,FALSE,TRUE
15,EY7107,EY,Etihad Airways,1,A380,Widebody,LHR,20250301,07:40:00,93,450,618,5455.8,TRUE,TRUE
16,EY7178,EY,Etihad Airways,8,A320,Narrowbody,DXB,20250301,07:50:00,95,164,225,1706.0,TRUE,TRUE
17,FC8885,FC,Florida Coastal Airlines,1,A380,Widebody,CAI,20250301,08:10:00,99,466,596,7759.2,TRUE,TRUE
18,EY7030,EY,Etihad Airways,8,A320,Narrowbody,LHR,20250301,08:15:00,100,152,207,0.0,FALSE,TRUE
19,EY9425,EY,Etihad Airways,8,A320,Narrowbody,JFK,20250301,08:55:00,108,168,226,0.0,FALSE,TRUE
20,W61846,W6,Wizz Air Abu Dhabi,8,A320,Narrowbody,MUM,20250301,09:00:00,109,137,199,0.0,FALSE,TRUE
21,EY6555,EY,Etihad Airways,6,A330,Widebody,DXB,20250301,09:10:00,111,212,257,3246.6,TRUE,TRUE
22,W63133,W6,Wizz Air Abu Dhabi,7,A321,Narrowbody,NRT,20250301,09:20:00,113,169,241,0.0,FALSE,TRUE
23,EY7849,EY,Etihad Airways,7,A321,Narrowbody,JFK,20250301,09:25:00,114,160,233,2193.5,TRUE,TRUE
24,EY4192,EY,Etihad Airways,7,A321,Narrowbody,JNB,20250301,10:00:00,121,189,274,0.0,FALSE,TRUE
25,EY6793,EY,Etihad Airways,5,B787,Widebody,HKG,20250301,10:15:00,124,245,345,0.0,FALSE,TRUE
26,XY2951,XY,flynas,9,B737,Narrowbody,HKG,20250301,10:20:00,125,121,173,0.0,FALSE,TRUE
27,EY8789,EY,Etihad Airways,8,A320,Narrowbody,KWI,20250301,10:25:00,126,170,245,1051.1,TRUE,TRUE
28,EY8921,EY,Etihad Airways,7,A321,Narrowbody,KWI,20250301,10:50:00,131,156,201,0.0,FALSE,TRUE
29,EY382,EY,Etihad Airways,2,B777,Widebody,JNB,20250301,11:20:00,137,295,395,0.0,FALSE,TRUE
30,W67119,W6,Wizz Air Abu Dhabi,8,A320,Narrowbody,DEL,20250301,11:40:00,141,130,157,1534.3,TRUE,TRUE
31,6E118,6E,IndiGo,8,A320,Narrowbody,BKK,20250301,11:40:00,141,154,207,0.0,FALSE,TRUE
32,G94434,G9,Air Arabia Abu Dhabi,7,A321,Narrowbody,FRA,20250301,11:50:00,143,185,267,1340.4,TRUE,TRUE
33,IX4626,IX,Air India Express,10,E190,Narrowbody,HKG,20250301,12:00:00,145,88,127,0.0,FALSE,TRUE
34,IX3752,IX,Air India Express,2,B777,Widebody,ICN,20250301,12:05:00,146,269,374,0.0,FALSE,TRUE
35,EY9117,EY,Etihad Airways,6,A330,Widebody,SIN,20250301,12:20:00,149,189,237,4543.5,TRUE,TRUE
36,EY6661,EY,Etihad Airways,7,A321,Narrowbody,BKK,20250301,12:20:00,149,145,207,0.0,FALSE,TRUE
37,W64525,W6,Wizz Air Abu Dhabi,8,A320,Narrowbody,DXB,20250301,12:25:00,150,137,202,1313.5,TRUE,TRUE
38,EY6982,EY,Etihad Airways,7,A321,Narrowbody,KWI,20250301,12:50:00,155,181,255,0.0,FALSE,TRUE
39,SV3972,SV,Saudi Arabian Airlines,4,A350,Widebody,FRA,20250301,13:00:00,157,238,355,6920.4,TRUE,TRUE
40,EY4475,EY,Etihad Airways,3,B747,Widebody,LHR,20250301,13:05:00,158,377,521,5308.6,TRUE,TRUE
41,IX5255,IX,Air India Express,4,A350,Widebody,HKG,20250301,13:10:00,159,220,313,0.0,FALSE,TRUE
42,W69436,W6,Wizz Air Abu Dhabi,8,A320,Narrowbody,FRA,20250301,13:25:00,162,147,192,1099.6,TRUE,TRUE
43,G98156,G9,Air Arabia Abu Dhabi,7,A321,Narrowbody,BKK,20250301,13:25:00,162,173,252,2263.9,TRUE,TRUE
44,6E7016,6E,IndiGo,7,A321,Narrowbody,HKG,20250301,13:40:00,165,188,274,2311.3,TRUE,TRUE
45,EY4571,EY,Etihad Airways,1,A380,Widebody,FRA,20250301,13:55:00,168,451,665,0.0,FALSE,TRUE
46,EY932,EY,Etihad Airways,4,A350,Widebody,BKK,20250301,14:00:00,169,267,371,6706.2,TRUE,TRUE
47,G91093,G9,Air Arabia Abu Dhabi,8,A320,Narrowbody,SIN,20250301,14:15:00,172,134,178,0.0,FALSE,TRUE
48,IX4415,IX,Air India Express,8,A320,Narrowbody,HKG,20250301,14:50:00,179,163,220,1217.4,TRUE,TRUE
49,EY3948,EY,Etihad Airways,7,A321,Narrowbody,LHR,20250301,15:00:00,181,152,204,0.0,FALSE,TRUE
50,EY1269,EY,Etihad Airways,7,A321,Narrowbody,DEL,20250301,15:10:00,183,158,236,0.0,FALSE,TRUE
51,EY1224,EY,Etihad Airways,7,A321,Narrowbody,DXB,20250301,15:15:00,184,141,175,2221.6,TRUE,TRUE
52,BS1738,BS,British International Helicopters,2,B777,Widebody,KWI,20250301,15:25:00,186,251,319,6229.1,TRUE,TRUE
53,6E9541,6E,IndiGo,7,A321,Narrowbody,MUM,20250301,15:35:00,188,172,253,2074.3,TRUE,TRUE
54,IX1260,IX,Air India Express,9,B737,Narrowbody,FRA,20250301,15:40:00,189,142,207,0.0,FALSE,TRUE
55,EY3671,EY,Etihad Airways,3,B747,Widebody,CAI,20250301,15:45:00,190,376,532,0.0,FALSE,TRUE
56,G98897,G9,Air Arabia Abu Dhabi,8,A320,Narrowbody,HKG,20250301,16:05:00,194,145,193,0.0,FALSE,TRUE
57,G92534,G9,Air Arabia Abu Dhabi,8,A320,Narrowbody,MUM,20250301,16:25:00,198,160,210,0.0,FALSE,TRUE
58,W65020,W6,Wizz Air Abu Dhabi,8,A320,Narrowbody,NRT,20250301,16:30:00,199,139,172,0.0,FALSE,TRUE
59,PK7877,PK,Pakistan International Airlines,2,B777,Widebody,DEL,20250301,16:40:00,201,299,383,5314.4,TRUE,TRUE
60,EY4451,EY,Etihad Airways,6,A330,Widebody,KWI,20250301,17:25:00,210,230,281,0.0,FALSE,TRUE
61,EY6890,EY,Etihad Airways,7,A321,Narrowbody,JFK,20250301,17:35:00,212,152,212,2364.2,TRUE,TRUE
62,XY8142,XY,flynas,1,A380,Widebody,DEL,20250301,17:35:00,212,389,579,10962.9,TRUE,TRUE
63,EY6918,EY,Etihad Airways,7,A321,Narrowbody,KWI,20250301,17:35:00,212,162,236,0.0,FALSE,TRUE
64,IX8842,IX,Air India Express,3,B747,Widebody,LHR,20250301,17:40:00,213,341,433,0.0,FALSE,TRUE
65,EY7733,EY,Etihad Airways,2,B777,Widebody,NRT,20250301,17:45:00,214,246,360,0.0,FALSE,TRUE
66,EY3570,EY,Etihad Airways,7,A321,Narrowbody,JNB,20250301,17:50:00,215,158,232,0.0,FALSE,TRUE
67,QR4133,QR,Qatar Airways,1,A380,Widebody,CAI,20250301,17:50:00,215,417,539,9522.9,TRUE,TRUE
68,EY5041,EY,Etihad Airways,7,A321,Narrowbody,BKK,20250301,18:00:00,217,166,232,2183.2,TRUE,TRUE
69,W65239,W6,Wizz Air Abu Dhabi,8,A320,Narrowbody,JFK,20250301,18:05:00,218,166,208,1295.1,TRUE,TRUE
70,EY1390,EY,Etihad Airways,4,A350,Widebody,FRA,20250301,18:10:00,219,259,384,5638.4,TRUE,TRUE
71,EY1149,EY,Etihad Airways,5,B787,Widebody,LHR,20250301,18:15:00,220,200,277,6774.4,TRUE,TRUE
72,EY5056,EY,Etihad Airways,7,A321,Narrowbody,KWI,20250301,18:20:00,221,173,256,1252.0,TRUE,TRUE
73,EY1170,EY,Etihad Airways,1,A380,Widebody,FRA,20250301,19:00:00,229,365,499,11954.4,TRUE,TRUE
74,EY753,EY,Etihad Airways,7,A321,Narrowbody,BKK,20250301,19:05:00,230,179,262,0.0,FALSE,TRUE
75,EY7338,EY,Etihad Airways,2,B777,Widebody,JNB,20250301,19:10:00,231,252,341,0.0,FALSE,TRUE
76,EY9164,EY,Etihad Airways,3,B747,Widebody,SIN,20250301,19:25:00,234,348,506,0.0,FALSE,TRUE
77,EY9963,EY,Etihad Airways,2,B777,Widebody,JFK,20250301,19:40:00,237,264,363,0.0,FALSE,TRUE
78,EY4606,EY,Etihad Airways,2,B777,Widebody,KWI,20250301,19:55:00,240,292,402,4162.2,TRUE,TRUE
79,EY1086,EY,Etihad Airways,7,A321,Narrowbody,JNB,20250301,21:20:00,257,144,183,0.0,FALSE,TRUE
80,EY4579,EY,Etihad Airways,4,A350,Widebody,SIN,20250301,21:30:00,259,279,377,0.0,FALSE,TRUE
81,6E2592,6E,IndiGo,8,A320,Narrowbody,DXB,20250301,22:05:00,266,164,201,0.0,FALSE,TRUE
82,EY2461,EY,Etihad Airways,6,A330,Widebody,CAI,20250301,22:25:00,270,227,316,0.0,FALSE,TRUE
83,EY811,EY,Etihad Airways,7,A321,Narrowbody,CAI,20250301,22:50:00,275,184,240,1171.7,TRUE,TRUE
84,IX4012,IX,Air India Express,8,A320,Narrowbody,DEL,20250301,22:55:00,276,157,226,1579.6,TRUE,TRUE
85,EY4626,EY,Etihad Airways,5,B787,Widebody,MUM,20250301,23:35:00,284,249,350,0.0,FALSE,TRUE
86,EY6022,EY,Etihad Airways,1,A380,Widebody,LHR,20250302,01:35:00,20,391,536,0.0,FALSE,TRUE
87,XY7029,XY,flynas,7,A321,Narrowbody,CAI,20250302,02:05:00,26,165,205,0.0,FALSE,TRUE
88,EY5220,EY,Etihad Airways,8,A320,Narrowbody,CDG,20250302,03:05:00,38,163,200,1673.5,TRUE,TRUE
89,W61334,W6,Wizz Air Abu Dhabi,7,A321,Narrowbody,ICN,20250302,03:45:00,46,168,235,0.0,FALSE,TRUE
90,EY6433,EY,Etihad Airways,6,A330,Widebody,BKK,20250302,04:10:00,51,187,261,0.0,FALSE,TRUE
91,EY6068,EY,Etihad Airways,7,A321,Narrowbody,SIN,20250302,05:35:00,68,166,214,0.0,FALSE,TRUE
92,EY2229,EY,Etihad Airways,2,B777,Widebody,LHR,20250302,06:10:00,75,276,396,0.0,FALSE,TRUE
93,EY961,EY,Etihad Airways,5,B787,Widebody,DEL,20250302,06:20:00,77,242,325,0.0,FALSE,TRUE
94,EY1868,EY,Etihad Airways,4,A350,Widebody,CAI,20250302,06:25:00,78,221,273,0.0,FALSE,TRUE
95,EY8825,EY,Etihad Airways,8,A320,Narrowbody,LHR,20250302,06:30:00,79,146,178,1286.6,TRUE,TRUE
96,G95395,G9,Air Arabia Abu Dhabi,8,A320,Narrowbody,DEL,20250302,06:35:00,80,154,221,0.0,FALSE,TRUE
