demand_id,flight_id,date_key,arrival_slot_id,station_id,equipment_id,qty_required,qty_allocated,shortage_qty,pickup_slot_id,return_slot_id,allocation_distance_km,demand_calc_method,risk_level,sla_compliant,is_active
1,1,20250301,19,1,1,8,8,0,14,28,0.6,Estimated,OK,TRUE,TRUE
2,1,20250301,19,1,4,7,7,0,14,28,1.9,Estimated,OK,TRUE,TRUE
3,1,20250301,19,1,6,4,4,0,14,28,1.6,Estimated,OK,TRUE,TRUE
4,2,20250301,38,7,2,12,12,0,34,47,1.6,Estimated,OK,TRUE,TRUE
5,2,20250301,38,7,4,15,15,0,34,47,1.9,Estimated,OK,TRUE,TRUE
6,2,20250301,38,7,6,8,8,0,34,47,1.2,Estimated,OK,TRUE,TRUE
7,3,20250301,41,3,1,8,8,0,38,50,0.7,Estimated,OK,TRUE,TRUE
8,3,20250301,41,3,4,7,7,0,38,50,0.9,Estimated,OK,TRUE,TRUE
9,3,20250301,41,3,6,4,4,0,38,50,2.0,Estimated,OK,TRUE,TRUE
10,4,20250301,43,8,2,12,12,0,40,52,1.1,Estimated,OK,TRUE,TRUE
11,4,20250301,43,8,4,18,18,0,40,52,0.4,Estimated,OK,TRUE,TRUE
12,4,20250301,43,8,6,9,9,0,40,52,0.6,Estimated,OK,TRUE,TRUE
13,5,20250301,45,3,2,12,12,0,40,54,1.7,Estimated,OK,TRUE,TRUE
14,5,20250301,45,3,4,13,12,-1,40,54,1.9,Estimated,LOW,TRUE,TRUE
15,5,20250301,45,3,6,7,7,0,40,54,0.8,Estimated,OK,TRUE,TRUE
16,6,20250301,60,1,1,6,4,-2,56,69,0.9,Estimated,MEDIUM,FALSE,TRUE
17,6,20250301,60,1,4,7,7,0,56,69,1.1,Estimated,OK,TRUE,TRUE
18,6,20250301,60,1,6,4,4,0,56,69,0.8,Estimated,OK,TRUE,TRUE
19,7,20250301,62,4,1,6,6,0,59,71,0.7,Estimated,OK,TRUE,TRUE
20,7,20250301,62,4,4,5,5,0,59,71,0.7,Estimated,OK,TRUE,TRUE
21,7,20250301,62,4,6,3,3,0,59,71,2.5,Estimated,OK,TRUE,TRUE
22,8,20250301,75,10,2,12,12,0,71,84,2.2,Estimated,OK,TRUE,TRUE
23,8,20250301,75,10,4,12,12,0,71,84,0.8,Estimated,OK,TRUE,TRUE
24,8,20250301,75,10,6,6,6,0,71,84,1.0,Estimated,OK,TRUE,TRUE
25,9,20250301,78,1,1,8,8,0,73,87,1.4,Estimated,OK,TRUE,TRUE
26,9,20250301,78,1,4,6,4,-2,73,87,0.6,Estimated,MEDIUM,FALSE,TRUE
27,9,20250301,78,1,6,3,3,0,73,87,1.9,Estimated,OK,TRUE,TRUE
28,10,20250301,80,10,2,12,10,-2,74,89,1.1,Estimated,MEDIUM,FALSE,TRUE
29,10,20250301,80,10,4,10,8,-2,74,89,1.4,Estimated,MEDIUM,FALSE,TRUE
30,10,20250301,80,10,6,5,5,0,74,89,0.4,Estimated,OK,TRUE,TRUE
31,11,20250301,80,10,2,12,12,0,76,89,1.2,Estimated,OK,TRUE,TRUE
32,11,20250301,80,10,4,11,11,0,76,89,1.1,Estimated,OK,TRUE,TRUE
33,11,20250301,80,10,6,6,2,-4,76,89,0.9,Estimated,HIGH,FALSE,TRUE
34,12,20250301,84,7,2,12,12,0,81,93,1.5,Estimated,OK,TRUE,TRUE
