replenishment_id,from_station_id,to_station_id,date_key,before_period_id,equipment_id,scenario_id,qty_to_move,distance_km,estimated_time_min,priority,trigger_reason,status,is_active
1,8,7,20250301,1,1,1,5,0.2,2,HIGH,Shortage,Completed,TRUE
2,9,7,20250301,1,3,1,20,0.6,3,HIGH,Shortage,Completed,TRUE
3,2,6,20250301,1,3,1,25,1.3,6,HIGH,Shortage,Completed,TRUE
4,2,5,20250301,1,3,1,15,1.2,5,HIGH,Shortage,Completed,TRUE
5,2,10,20250301,1,3,1,11,2.5,10,HIGH,Shortage,Approved,TRUE
6,2,4,20250301,1,3,1,9,0.6,3,HIGH,Balance,Approved,TRUE
7,2,8,20250301,1,3,1,1,1.8,8,LOW,Preventive,Completed,TRUE
8,3,2,20250301,2,1,1,3,0.1,2,HIGH,Shortage,Approved,TRUE
9,2,4,20250301,3,3,1,88,0.6,3,HIGH,Shortage,Completed,TRUE
10,5,6,20250301,3,3,1,5,0.5,2,HIGH,Shortage,Completed,TRUE
11,2,7,20250301,3,3,1,1,1.6,7,HIGH,Shortage,Recommended,TRUE
12,5,4,20250301,3,2,1,2,0.6,3,MEDIUM,Shortage,Completed,TRUE
13,3,2,20250301,4,1,1,3,0.1,2,HIGH,Shortage,Recommended,TRUE
14,7,6,20250301,4,3,1,6,0.4,2,HIGH,Shortage,Completed,TRUE
15,2,1,20250301,4,3,1,8,0.2,2,HIGH,Shortage,Recommended,TRUE
16,9,7,20250302,1,3,1,20,0.6,3,HIGH,Shortage,Completed,TRUE
17,10,8,20250302,1,3,1,13,0.8,4,HIGH,Shortage,Approved,TRUE
18,2,3,20250302,1,3,1,3,0.1,2,MEDIUM,Preventive,Completed,TRUE
19,5,4,20250302,2,1,1,10,0.6,3,HIGH,Shortage,Completed,TRUE
20,7,6,20250302,2,3,1,4,0.4,2,HIGH,Shortage,Recommended,TRUE
21,2,9,20250302,2,3,1,7,2.2,9,HIGH,Balance,Approved,TRUE
22,8,7,20250302,3,1,1,13,0.2,2,HIGH,Shortage,Completed,TRUE
23,8,6,20250302,3,3,1,3,0.6,3,HIGH,Shortage,Approved,TRUE
24,2,4,20250302,3,3,1,22,0.6,3,HIGH,Balance,Completed,TRUE
25,2,1,20250302,3,3,1,4,0.2,2,HIGH,Shortage,Completed,TRUE
26,3,2,20250302,3,2,1,3,0.1,2,MEDIUM,Shortage,Completed,TRUE
27,8,10,20250302,4,3,1,10,0.8,4,HIGH,Balance,Recommended,TRUE
28,6,5,20250302,4,3,1,7,0.5,2,HIGH,Shortage,Completed,TRUE
29,2,1,20250302,4,3,1,4,0.2,2,HIGH,Shortage,Completed,TRUE
30,3,4,20250302,4,3,1,2,0.5,2,MEDIUM,Balance,Completed,TRUE
31,3,4,20250303,1,1,1,3,0.5,2,HIGH,Shortage,Approved,TRUE
32,1,2,20250303,1,1,1,5,0.2,2,HIGH,Shortage,Recommended,TRUE
33,2,6,20250303,1,3,1,37,1.3,6,HIGH,Shortage,Completed,TRUE
34,2,4,20250303,1,3,1,34,0.6,3,HIGH,Shortage,Completed,TRUE
35,10,8,20250303,1,3,1,8,0.8,4,HIGH,Preventive,Approved,TRUE
36,2,1,20250303,1,3,1,6,0.2,2,HIGH,Shortage,Approved,TRUE
37,2,3,20250303,1,3,1,3,0.1,2,MEDIUM,Shortage,Recommended,TRUE
38,8,10,20250303,2,3,1,11,0.8,4,HIGH,Shortage,Completed,TRUE
39,8,7,20250303,3,1,1,5,0.2,2,HIGH,Shortage,Completed,TRUE
40,2,10,20250303,3,3,1,15,2.5,10,HIGH,Preventive,Approved,TRUE
41,1,2,20250303,3,2,1,3,0.2,2,MEDIUM,Shortage,Completed,TRUE
42,1,3,20250303,3,2,1,1,0.3,2,LOW,Shortage,Recommended,TRUE
43,3,4,20250303,4,1,1,3,0.5,2,HIGH,Shortage,Completed,TRUE
44,3,4,20250303,4,3,1,5,0.5,2,HIGH,Shortage,Recommended,TRUE
45,8,10,20250303,4,3,1,11,0.8,4,HIGH,Balance,Completed,TRUE
46,5,1,20250304,1,1,1,10,1.4,6,HIGH,Shortage,Recommended,TRUE
47,8,7,20250304,1,3,1,5,0.2,2,HIGH,Shortage,Completed,TRUE
48,2,3,20250304,1,3,1,27,0.1,2,HIGH,Preventive,Completed,TRUE
49,2,4,20250304,1,3,1,16,0.6,3,HIGH,Shortage,Approved,TRUE
50,2,1,20250304,1,3,1,16,0.2,2,HIGH,Shortage,Approved,TRUE
51,5,10,20250304,1,3,1,5,1.4,6,HIGH,Shortage,Approved,TRUE
52,7,6,20250304,2,3,1,6,0.4,2,HIGH,Balance,Completed,TRUE
53,8,5,20250304,2,3,1,3,0.8,4,MEDIUM,Shortage,Approved,TRUE
54,6,3,20250304,3,1,1,4,1.2,5,HIGH,Shortage,Recommended,TRUE
55,7,4,20250304,3,1,1,12,1.1,5,HIGH,Shortage,Completed,TRUE
56,2,3,20250304,3,3,1,31,0.1,2,HIGH,Balance,Approved,TRUE
57,2,1,20250304,3,3,1,14,0.2,2,HIGH,Balance,Completed,TRUE
58,4,1,20250304,4,1,1,2,0.8,4,HIGH,Shortage,Completed,TRUE
59,8,7,20250304,4,3,1,4,0.2,2,HIGH,Shortage,Approved,TRUE
60,2,1,20250304,4,3,1,12,0.2,2,HIGH,Shortage,Completed,TRUE
61,7,6,20250305,1,1,1,16,0.4,2,HIGH,Shortage,Completed,TRUE
62,9,10,20250305,1,1,1,2,0.4,2,HIGH,Balance,Approved,TRUE
63,5,2,20250305,1,1,1,4,1.2,5,HIGH,Balance,Completed,TRUE
64,2,4,20250305,1,3,1,43,0.6,3,HIGH,Shortage,Completed,TRUE
65,8,9,20250305,1,3,1,4,0.4,2,HIGH,Shortage,Completed,TRUE
66,7,1,20250305,1,1,1,3,1.9,8,MEDIUM,Shortage,Approved,TRUE
67,2,1,20250305,2,3,1,3,0.2,2,MEDIUM,Balance,Completed,TRUE
68,3,1,20250305,2,1,1,1,0.3,2,LOW,Preventive,Approved,TRUE
69,3,1,20250305,3,1,1,3,0.3,2,HIGH,Balance,Completed,TRUE
70,8,7,20250305,3,3,1,3,0.2,2,HIGH,Balance,Completed,TRUE
71,3,6,20250305,3,3,1,5,1.2,5,HIGH,Shortage,Completed,TRUE
72,1,2,20250305,4,2,1,1,0.2,2,MEDIUM,Shortage,Completed,TRUE
73,2,3,20250305,4,3,1,3,0.1,2,MEDIUM,Preventive,Completed,TRUE
74,5,4,20250306,1,1,1,10,0.6,3,HIGH,Shortage,Completed,TRUE
75,5,4,20250306,1,2,1,5,0.6,3,HIGH,Balance,Completed,TRUE
76,2,3,20250306,1,3,1,21,0.1,2,HIGH,Shortage,Completed,TRUE
77,2,4,20250306,2,3,1,42,0.6,3,HIGH,Shortage,Completed,TRUE
78,8,7,20250306,3,1,1,5,0.2,2,HIGH,Shortage,Completed,TRUE
79,8,7,20250306,3,3,1,11,0.2,2,HIGH,Shortage,Recommended,TRUE
80,9,6,20250306,3,3,1,12,1.0,4,HIGH,Shortage,Completed,TRUE
81,2,4,20250306,4,3,1,14,0.6,3,HIGH,Shortage,Approved,TRUE
82,2,3,20250306,4,3,1,13,0.1,2,HIGH,Shortage,Approved,TRUE
83,2,1,20250306,4,3,1,12,0.2,2,HIGH,Shortage,Completed,TRUE
84,6,5,20250306,4,3,1,6,0.5,2,HIGH,Shortage,Completed,TRUE
85,4,1,20250306,4,2,1,1,0.8,4,LOW,Shortage,Completed,TRUE
86,8,2,20250307,1,1,1,7,1.8,8,HIGH,Shortage,Completed,TRUE
87,9,7,20250307,1,1,1,10,0.6,3,HIGH,Shortage,Approved,TRUE
88,2,3,20250307,2,3,1,27,0.1,2,HIGH,Shortage,Approved,TRUE
89,9,7,20250307,2,3,1,1,0.6,3,LOW,Shortage,Completed,TRUE
90,10,7,20250307,3,1,1,3,0.9,4,HIGH,Shortage,Completed,TRUE
91,1,4,20250307,3,1,1,5,0.8,4,HIGH,Shortage,Approved,TRUE
92,10,7,20250307,3,3,1,1,0.9,4,HIGH,Shortage,Recommended,TRUE
93,2,3,20250307,3,3,1,6,0.1,2,HIGH,Shortage,Approved,TRUE
94,4,2,20250308,1,1,1,8,0.6,3,HIGH,Shortage,Completed,TRUE
95,8,7,20250308,1,1,1,4,0.2,2,HIGH,Shortage,Approved,TRUE
96,6,5,20250308,1,3,1,8,0.5,2,HIGH,Shortage,Completed,TRUE
97,9,7,20250308,1,3,1,13,0.6,3,HIGH,Shortage,Completed,TRUE
98,10,8,20250308,1,3,1,1,0.8,4,HIGH,Shortage,Completed,TRUE
99,6,1,20250308,1,1,1,1,1.5,6,LOW,Shortage,Completed,TRUE
100,3,4,20250308,2,3,1,5,0.5,2,HIGH,Shortage,Completed,TRUE
101,1,2,20250308,3,2,1,4,0.2,2,HIGH,Shortage,Completed,TRUE
102,2,10,20250308,3,3,1,48,2.5,10,HIGH,Balance,Recommended,TRUE
103,2,6,20250308,3,3,1,28,1.3,6,HIGH,Shortage,Completed,TRUE
104,5,3,20250308,3,2,1,3,1.1,5,MEDIUM,Shortage,Completed,TRUE
105,8,7,20250308,3,2,1,1,0.2,2,MEDIUM,Shortage,Approved,TRUE
106,5,4,20250308,3,2,1,2,0.6,3,MEDIUM,Shortage,Approved,TRUE
107,6,5,20250308,4,1,1,8,0.5,2,HIGH,Balance,Approved,TRUE
108,6,5,20250308,4,3,1,3,0.5,2,HIGH,Preventive,Approved,TRUE
109,8,7,20250309,1,3,1,3,0.2,2,HIGH,Preventive,Approved,TRUE
110,6,7,20250309,2,3,1,3,0.4,2,HIGH,Balance,Completed,TRUE
111,2,3,20250309,2,3,1,7,0.1,2,HIGH,Balance,Approved,TRUE
112,2,1,20250309,2,3,1,4,0.2,2,HIGH,Balance,Completed,TRUE
113,5,3,20250309,3,1,1,10,1.1,5,HIGH,Balance,Completed,TRUE
114,8,7,20250309,3,1,1,7,0.2,2,HIGH,Balance,Completed,TRUE
115,7,6,20250309,3,2,1,6,0.4,2,HIGH,Shortage,Recommended,TRUE
116,2,4,20250309,3,3,1,69,0.6,3,HIGH,Balance,Completed,TRUE
117,9,8,20250309,3,3,1,1,0.4,2,LOW,Shortage,Approved,TRUE
118,5,3,20250310,1,1,1,4,1.1,5,HIGH,Shortage,Completed,TRUE
119,7,4,20250310,1,1,1,4,1.1,5,HIGH,Shortage,Completed,TRUE
120,9,8,20250310,1,3,1,1,0.4,2,HIGH,Shortage,Completed,TRUE
121,2,6,20250310,1,3,1,17,1.3,6,HIGH,Shortage,Completed,TRUE
122,2,3,20250310,1,3,1,7,0.1,2,HIGH,Preventive,Completed,TRUE
123,3,4,20250310,1,2,1,3,0.5,2,MEDIUM,Shortage,Completed,TRUE
124,3,4,20250310,2,1,1,3,0.5,2,HIGH,Balance,Completed,TRUE
125,2,3,20250310,2,3,1,11,0.1,2,HIGH,Shortage,Recommended,TRUE
126,1,2,20250310,3,1,1,5,0.2,2,HIGH,Shortage,Completed,TRUE
127,9,10,20250310,3,1,1,12,0.4,2,HIGH,Shortage,Completed,TRUE
128,5,2,20250310,3,2,1,3,1.2,5,MEDIUM,Balance,Approved,TRUE
129,5,1,20250310,3,2,1,1,1.4,6,LOW,Shortage,Completed,TRUE
130,4,1,20250310,4,1,1,7,0.8,4,HIGH,Shortage,Approved,TRUE
131,8,7,20250310,4,3,1,11,0.2,2,HIGH,Shortage,Completed,TRUE
132,2,1,20250310,4,3,1,21,0.2,2,HIGH,Shortage,Approved,TRUE
133,4,3,20250310,4,1,1,1,0.5,2,MEDIUM,Shortage,Completed,TRUE
134,3,4,20250311,2,3,1,5,0.5,2,HIGH,Shortage,Completed,TRUE
135,8,10,20250311,2,3,1,7,0.8,4,HIGH,Shortage,Approved,TRUE
